0, 1
5120, 0
5121, 1
5122, 2
5123, 3
5124, 0
5125, 1
5126, 2
5127, 3
5128, 0
5129, 1
5130, 2
5131, 3
5132, 0
5133, 1
5134, 2
5135, 3
5136, 0
5137, 1
5138, 2
5139, 3
5140, 0
5141, 1
5142, 2
5143, 3
5144, 0
5145, 1
5146, 2
5147, 3
5148, 0
5149, 1
5150, 2
5151, 3
5152, 0
5153, 1
5154, 2
5155, 3
5156, 0
5157, 1
5158, 2
5159, 3
5160, 0
5161, 1
5162, 2
5163, 3
5164, 0
5165, 1
5166, 2
5167, 3
5168, 0
5169, 1
5170, 2
5171, 3
5172, 0
5173, 1
5174, 2
5175, 3
5176, 0
5177, 1
5178, 2
5179, 3
5180, 0
5181, 1
5182, 2
5183, 3
5184, 0
5185, 1
5186, 2
5187, 3
5188, 0
5189, 1
5190, 2
5191, 3
5192, 0
5193, 1
5194, 2
5195, 3
5196, 0
5197, 1
5198, 2
5199, 3
5200, 0
5201, 1
5202, 2
5203, 3
5204, 0
5205, 1
5206, 2
5207, 3
5208, 0
5209, 1
5210, 2
5211, 3
5212, 0
5213, 1
5214, 2
5215, 3
5216, 0
5217, 1
5218, 2
5219, 3
5220, 0
5221, 1
5222, 2
5223, 3
5224, 0
5225, 1
5226, 2
5227, 3
5228, 0
5229, 1
5230, 2
5231, 3
5232, 0
5233, 1
5234, 2
5235, 3
5236, 0
5237, 1
5238, 2
5239, 3
5240, 0
5241, 1
5242, 2
5243, 3
5244, 0
5245, 1
5246, 2
5247, 3
5248, 0
5249, 1
5250, 2
5251, 3
5252, 0
5253, 1
5254, 2
5255, 3
5256, 0
5257, 1
5258, 2
5259, 3
5260, 0
5261, 1
5262, 2
5263, 3
5264, 0
5265, 1
5266, 2
5267, 3
5268, 0
5269, 1
5270, 2
5271, 3
5272, 0
5273, 1
5274, 2
5275, 3
5276, 0
5277, 1
5278, 2
5279, 3
5280, 0
5281, 1
5282, 2
5283, 3
5284, 0
5285, 1
5286, 2
5287, 3
5288, 0
5289, 1
5290, 2
5291, 3
5292, 0
5293, 1
5294, 2
5295, 3
5296, 0
5297, 1
5298, 2
5299, 3
