Parameter,Value,Comments,,,,
Fc1,969.5202804,Focal length in X direction,,,,
Fc2,970.4628881,Focal length in Y direction,,,,
cc1,508.7833647,Principal point X coordinate,,,,
cc2,511.1612777,Principal point Y coordinate,,,,
Cx,0.00E+00,Center of Distortion,,,,
Cy,0.00E+00,,,,,
Kc1,-0.121363452,Distortion coeff Kc1, kc2, kc3, kc4, kc5
Kc2,0.328038479,,,,,
Kc3,0.348126446,,,,,
Kc4,0,,,,,
Kc5,0,,,,,
Kc6,0,,,,,
Tx,1.04E-04,Tangential Distortion,,,,
Ty,2.02E-04,,,,,
