1,1.8238,23.042
2,3,35
3,3.2259,166.08
4,4.626,16.214
5,4.7041,20.593
6,5.9029,69.528
7,5.547,80.37
8,5.6497,91.726
9,5.6107,102.65
10,5.6914,114.49
11,6.5539,125.1
12,6.5195,58.367
13,6.4769,135.5
14,7.3247,145.27
15,6.6418,169.8
16,8.0142,12.837
17,8.5666,37.591
18,7.5987,47.79
19,10.041,28.029
20,9.7017,155.69
21,10.199,163.05
22,10.98,99.515
23,13.494,12.785
24,12.692,18.877
25,13.718,171.61
26,15.873,80.672
27,15.598,91.493
28,15.547,103.56
29,15.76,114.25
30,16.336,125.92
31,16.909,57.888
32,16.504,68.443
33,16.593,136.22
34,18.382,4.619
35,17.634,46.889
36,17.621,147.07
37,18.443,156.44
38,18.561,36.73
39,19.957,26.61
40,20.217,165.63
41,20.489,172.08
42,22.43,10.597
43,21.553,17.384
44,21.948,173.57
45,21.964,177.84
46,24.347,4.5632
47,23.714,9.3509
48,25.605,104.43
49,25.457,3.6469
50,26.237,67.557
51,25.65,81.358
52,25.494,90.828
53,25.52,114.07
54,25.963,127.5
55,26.319,136.39
56,27.329,45.448
57,26.423,58.471
58,26.87,148.74
59,27.825,36.963
60,28.363,157.49
61,29.031,24.952
62,29.136,166.47
63,30.816,174.57
64,31.443,16.423
65,32.891,2.9051
66,32.408,8.3281
67,39.24,158.47
68,39.33,167.43
69,39.754,149.7
70,40.264,175.89
71,41.707,15.738
72,41.672,24.22
73,42.784,7.2289
74,48.897,150.31
75,50.468,159.57
76,50.456,168.47
77,50.539,23.786
78,51.572,177.33
79,52.171,15.437
80,52.507,6.9824
81,61.55,159.5
82,61.43,169.2
83,61.495,177.57
84,62.438,150.62
85,63.273,15.551
86,63.551,6.4252
87,63.762,23.559
88,72.37,159.69
89,72.985,23.604
90,72.777,149.4
91,72.635,169.42
92,72.559,177.63
93,73.82,6.5528
94,73.964,15.488
95,73.936,140.03
96,78.979,10.488
97,83.424,140.01
98,83.238,169.22
99,82.589,177.6
100,84.342,149.41
101,84.014,159.49
102,84.762,6.8642
103,85.072,15.499
104,86.297,24.114
105,90.12,21.52
106,94.49,150.46
107,94.517,159.48
108,94.495,168.49
109,93.725,176.81
110,94.713,7.3658
111,95.278,24.464
112,95.88,16.513
113,102.6,176.67
114,104.36,168.37
115,104.89,2.9498
116,105.52,8.7807
117,105.6,159.14
118,106.65,17.391
119,108.02,25.47
120,108.41,137.41
121,107.53,149.92
122,108.67,37.483
123,109.24,46.026
124,109.38,115.03
125,108.68,128.48
126,109.59,59.063
127,109.6,68.438
128,109.77,82.106
129,109.69,91.635
130,109.41,105.41
131,112.51,3.3507
132,112.81,40.465
133,114.05,9.5166
134,114.14,167.54
135,113.66,174.28
136,115.69,158.16
137,116.79,18.685
138,116.82,148.63
139,117.62,27.459
140,118.31,127.63
141,117.93,137.67
142,118.61,37.699
143,118.7,47.406
144,119.27,58.742
145,119.38,69.439
146,119.51,92.502
147,119.47,104.68
148,119.21,115.38
149,119.75,81.622
150,122.97,172.06
151,123.51,7.6553
152,124.58,12.68
153,125.33,19.552
154,125.33,96.457
155,124.6,165.42
156,126.3,156.43
157,127.22,147.43
158,128.5,6.9198
159,127.59,28.834
160,128.3,137.28
161,128.74,38.559
162,129.41,48.719
163,129.44,126.23
164,128.84,172.16
165,130.07,59.328
166,130.46,81.398
167,130.4,93.033
168,130.3,104.21
169,129.56,115.76
170,131.3,13.869
171,130.45,70.62
172,131.75,169.12
173,133.38,15.979
174,133.9,21.221
175,133.68,162.59
176,134.7,155.79
177,135.44,22.875
178,136.32,146.49
179,136.84,30.849
180,138.31,15.586
181,138.27,49.101
182,138.12,126.62
183,138.23,39.548
